,path,sentence,language
0,common_voice_zh-TW_20290066.mp3,大家可以公開的下載,0
1,common_voice_zh-TW_20290078.mp3,洗洗睡了,0
2,common_voice_zh-TW_20290080.mp3,不好說，不好說阿,0
3,common_voice_zh-TW_20290111.mp3,才是女性每天面對的現實,0
4,common_voice_zh-TW_20290115.mp3,實際作道路供公眾通行,0
5,common_voice_zh-TW_20290116.mp3,他無法正常對話,0
6,common_voice_zh-TW_20331317.mp3,為什麼我們要容忍沒規矩的司機,0
7,common_voice_zh-TW_20331318.mp3,他們就失業了嗎？,0
8,common_voice_zh-TW_20331319.mp3,從小到大的認知是有問題的,0
9,common_voice_zh-TW_20331515.mp3,不太符合我的用途,0
10,common_voice_zh-TW_20331517.mp3,台灣再不加點油,0
11,common_voice_zh-TW_20331548.mp3,溫州大混飩這家連鎖店,0
12,common_voice_zh-TW_20331553.mp3,真的喝到底都是糖,0
13,common_voice_zh-TW_20331554.mp3,不只是單純憑著一股氣,0
14,common_voice_zh-TW_20331842.mp3,還有熱情的朋友,0
15,common_voice_zh-TW_20331901.mp3,直到最後一口就被一次甜回來了,0
16,common_voice_zh-TW_20331906.mp3,比如說歷史上所謂奸臣形象,0
17,common_voice_zh-TW_20331952.mp3,我們有更中性的「正視」,0
18,common_voice_zh-TW_20332032.mp3,你家的泡麵已經煮好了,0
19,common_voice_zh-TW_20332209.mp3,是不是隨時提出資料,0
20,common_voice_zh-TW_20332215.mp3,吃葡萄不吐葡萄皮，倒吃葡萄倒吐葡萄皮,0
21,common_voice_zh-TW_20332219.mp3,弘兼憲史把台灣寫得太遜了,0
22,common_voice_zh-TW_20332298.mp3,但人群中你還真的要笑出來,0
23,common_voice_zh-TW_20332299.mp3,甚至直接在當地生產、包裝,0
24,common_voice_zh-TW_20332521.mp3,到時候可以直接來這邊爬,0
25,common_voice_zh-TW_30242256.mp3,赤馬鄉的步道,0
26,common_voice_zh-TW_30242257.mp3,與閱讀順序相反,0
27,common_voice_zh-TW_30242258.mp3,綠美橋,0
28,common_voice_zh-TW_30242259.mp3,橋頭線,0
29,common_voice_zh-TW_30242260.mp3,三義交流道,0
30,common_voice_zh-TW_30242264.mp3,中二高,0
31,common_voice_zh-TW_30242265.mp3,高雄市新生路,0
32,common_voice_zh-TW_30242266.mp3,新竹北門大街,0
33,common_voice_zh-TW_30242267.mp3,松山至西門車站區間,0
34,common_voice_zh-TW_30242268.mp3,這裡些消費百元出頭,0
35,common_voice_zh-TW_30242271.mp3,古坑系統交流道,0
36,common_voice_zh-TW_30242272.mp3,我再補充一下,0
37,common_voice_zh-TW_30242273.mp3,高鐵橋下嘉義段道路,0
38,common_voice_zh-TW_30242274.mp3,永康中華路,0
39,common_voice_zh-TW_30242275.mp3,甲后路,0
40,common_voice_zh-TW_30242277.mp3,埤北交流道,0
41,common_voice_zh-TW_30242278.mp3,新竹市北門街,0
42,common_voice_zh-TW_30242279.mp3,臺中市道路,0
43,common_voice_zh-TW_30242280.mp3,成功北路,0
44,common_voice_zh-TW_30242281.mp3,蘆洲支線,0
45,common_voice_zh-TW_30242286.mp3,有可能同樣名稱,0
46,common_voice_zh-TW_30242287.mp3,八里交流道,0
47,common_voice_zh-TW_30242288.mp3,中山三路,0
48,common_voice_zh-TW_30242289.mp3,用雙手搖動,0
49,common_voice_zh-TW_30242290.mp3,臺中捷運紅線,0
50,common_voice_zh-TW_30242292.mp3,大溪路,0
51,common_voice_zh-TW_30242293.mp3,福興吊橋,0
52,common_voice_zh-TW_30242294.mp3,環中路,0
53,common_voice_zh-TW_30242295.mp3,觀光景點,0
54,common_voice_zh-TW_30242299.mp3,第二高速公路,0
55,common_voice_zh-TW_30242301.mp3,南北向縣道,0
56,common_voice_zh-TW_30242302.mp3,用免費版,0
57,common_voice_zh-TW_30242304.mp3,臺灣鐵路已放棄興建的路線,0
58,common_voice_zh-TW_30242306.mp3,披薩炸雞基本款,0
59,common_voice_zh-TW_30242307.mp3,天馬行空,0
60,common_voice_zh-TW_30242309.mp3,追分至成功站間的鐵路幹線,0
61,common_voice_zh-TW_30242310.mp3,捷運站,0
62,common_voice_zh-TW_30242316.mp3,預演開始啦,0
63,common_voice_zh-TW_30242317.mp3,東部幹線,0
64,common_voice_zh-TW_30242318.mp3,第一臨港線,0
65,common_voice_zh-TW_30242319.mp3,兩個規律密碼,0
66,common_voice_zh-TW_30242320.mp3,桃園市道,0
